#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
chebi:"CHEBI:28304"	uniprotkb:P26435	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Slc10a1"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q8CGU6	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Ncstn"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:O88269	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Abcc6"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q8K1P8	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"SLC16A2"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P53987	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Slc16a1"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q10739	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Mmp14"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P30904	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"MIF"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P97523	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Met"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q08201	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Abcb4"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P43245	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Abcb1"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P08661	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Mbl2"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:O88923	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Adgrl2"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P07867	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Lipc"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P97840	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Lgals9"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:O70535	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Lifr"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:Q9Z2H4	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Lgr4"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:28304"	uniprotkb:P35952	matrixdb:GAG_1	-	matrixdb:Heparin(short label)	uniprotkb:"Ldlr"(gene name)	psi-mi:"MI:0400"("affinity technology")	Ori A et al.(2011)	pubmed:21454685|imex:IM-25784	-	taxid:10116(Rattus norvegicus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(matrixdb)	matrixdb:A0JPN2__B2GUY2__...__Q9Z2H4_21454685_matrixdb_1|intact:EBI-15184828|imex:IM-25784-1	-	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	-	-	-	-	-	-	-	figure legend:"Supplemental Table 1"|curation depth:imex curation	taxid:-1(in vitro)	-	-	-	-	-	-	false	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
